Sig	ips	exposure	denovo
Skin_I	HPSI0115i-hecn_3	0	denovo
UV_Skin_J	HPSI0115i-hecn_3	0	denovo
Culture	HPSI0115i-hecn_6	528.237726098191	denovo
Skin_B	HPSI0115i-hecn_6	0	denovo
Skin_C	HPSI0115i-hecn_6	0	denovo
UV_Skin_D	HPSI0115i-hecn_6	0	denovo
Skin_E	HPSI0115i-hecn_6	0	denovo
Skin_F	HPSI0115i-hecn_6	0	denovo
Skin_G	HPSI0115i-hecn_6	149.405684754522	denovo
Skin_H	HPSI0115i-hecn_6	351.483204134367	denovo
Skin_I	HPSI0115i-hecn_6	341.354005167959	denovo
UV_Skin_J	HPSI0115i-hecn_6	0	denovo
Culture	HPSI0115i-iiyk_2	273.746588693957	denovo
Skin_B	HPSI0115i-iiyk_2	0	denovo
Skin_C	HPSI0115i-iiyk_2	0	denovo
UV_Skin_D	HPSI0115i-iiyk_2	0	denovo
Skin_E	HPSI0115i-iiyk_2	0	denovo
Skin_F	HPSI0115i-iiyk_2	0	denovo
Skin_G	HPSI0115i-iiyk_2	0	denovo
Skin_H	HPSI0115i-iiyk_2	213.992202729045	denovo
Skin_I	HPSI0115i-iiyk_2	200.713450292398	denovo
UV_Skin_J	HPSI0115i-iiyk_2	0	denovo
Culture	HPSI0115i-iiyk_4	698.022276029056	denovo
Skin_B	HPSI0115i-iiyk_4	0	denovo
Skin_C	HPSI0115i-iiyk_4	0	denovo
UV_Skin_D	HPSI0115i-iiyk_4	0	denovo
Skin_E	HPSI0115i-iiyk_4	0	denovo
Skin_F	HPSI0115i-iiyk_4	0	denovo
Skin_G	HPSI0115i-iiyk_4	329.454479418886	denovo
Skin_H	HPSI0115i-iiyk_4	461.336561743341	denovo
Skin_I	HPSI0115i-iiyk_4	247.717675544794	denovo
UV_Skin_J	HPSI0115i-iiyk_4	0	denovo
Culture	HPSI0115i-iuad_2	499.553672316384	denovo
Skin_B	HPSI0115i-iuad_2	0	denovo
Skin_C	HPSI0115i-iuad_2	0	denovo
UV_Skin_D	HPSI0115i-iuad_2	816.207876370887	denovo
Skin_E	HPSI0115i-iuad_2	0	denovo
Skin_F	HPSI0115i-iuad_2	0	denovo
Skin_G	HPSI0115i-iuad_2	0	denovo
Skin_H	HPSI0115i-iuad_2	461.048521103357	denovo
Skin_I	HPSI0115i-iuad_2	0	denovo
UV_Skin_J	HPSI0115i-iuad_2	1104.48986374211	denovo
Culture	HPSI0115i-iuad_3	567.350934815564	denovo
Skin_B	HPSI0115i-iuad_3	0	denovo
Skin_C	HPSI0115i-iuad_3	0	denovo
UV_Skin_D	HPSI0115i-iuad_3	504.977261243052	denovo
Skin_E	HPSI0115i-iuad_3	0	denovo
Skin_F	HPSI0115i-iuad_3	0	denovo
Skin_G	HPSI0115i-iuad_3	0	denovo
Skin_H	HPSI0115i-iuad_3	398.193532086913	denovo
Skin_I	HPSI0115i-iuad_3	0	denovo
UV_Skin_J	HPSI0115i-iuad_3	0	denovo
Culture	HPSI0115i-kozf_1	592.390670553936	denovo
Skin_B	HPSI0115i-kozf_1	0	denovo
Skin_C	HPSI0115i-kozf_1	0	denovo
UV_Skin_D	HPSI0115i-kozf_1	0	denovo
Skin_E	HPSI0115i-kozf_1	0	denovo
Skin_F	HPSI0115i-kozf_1	0	denovo
Skin_G	HPSI0115i-kozf_1	0	denovo
Skin_H	HPSI0115i-kozf_1	339.232264334305	denovo
Skin_I	HPSI0115i-kozf_1	0	denovo
UV_Skin_J	HPSI0115i-kozf_1	0	denovo
Culture	HPSI0115i-kozf_2	901.5234375	denovo
Skin_B	HPSI0115i-kozf_2	0	denovo
Skin_C	HPSI0115i-kozf_2	0	denovo
UV_Skin_D	HPSI0115i-kozf_2	0	denovo
Skin_E	HPSI0115i-kozf_2	0	denovo
Skin_F	HPSI0115i-kozf_2	0	denovo
Skin_G	HPSI0115i-kozf_2	187.375459558824	denovo
Skin_H	HPSI0115i-kozf_2	629.803768382353	denovo
Skin_I	HPSI0115i-kozf_2	0	denovo
UV_Skin_J	HPSI0115i-kozf_2	0	denovo
Culture	HPSI0115i-melw_1	956.441379310345	denovo
Skin_B	HPSI0115i-melw_1	0	denovo
Skin_C	HPSI0115i-melw_1	0	denovo
UV_Skin_D	HPSI0115i-melw_1	233.964137931034	denovo
Skin_E	HPSI0115i-melw_1	0	denovo
Skin_F	HPSI0115i-melw_1	0	denovo
Skin_G	HPSI0115i-melw_1	0	denovo
Skin_H	HPSI0115i-melw_1	191.790344827586	denovo
Skin_I	HPSI0115i-melw_1	0	denovo
UV_Skin_J	HPSI0115i-melw_1	0	denovo
Culture	HPSI0115i-melw_2	841.740762991889	denovo
Skin_B	HPSI0115i-melw_2	0	denovo
Skin_C	HPSI0115i-melw_2	0	denovo
UV_Skin_D	HPSI0115i-melw_2	200.438570141184	denovo
Skin_E	HPSI0115i-melw_2	0	denovo
Skin_F	HPSI0115i-melw_2	0	denovo
Skin_G	HPSI0115i-melw_2	178.167617903274	denovo
Skin_H	HPSI0115i-melw_2	167.538299789727	denovo
Skin_I	HPSI0115i-melw_2	0	denovo
UV_Skin_J	HPSI0115i-melw_2	0	denovo
Culture	HPSI0115i-paim_1	302.374717832957	denovo
Skin_B	HPSI0115i-paim_1	0	denovo
Skin_C	HPSI0115i-paim_1	0	denovo
UV_Skin_D	HPSI0115i-paim_1	0	denovo
Skin_E	HPSI0115i-paim_1	0	denovo
Skin_F	HPSI0115i-paim_1	0	denovo
Skin_G	HPSI0115i-paim_1	0	denovo
Skin_H	HPSI0115i-paim_1	157.255079006772	denovo
Skin_I	HPSI0115i-paim_1	164.334085778781	denovo
UV_Skin_J	HPSI0115i-paim_1	0	denovo
Culture	HPSI0115i-paim_3	361.099935938501	denovo
Skin_B	HPSI0115i-paim_3	0	denovo
Skin_C	HPSI0115i-paim_3	0	denovo
UV_Skin_D	HPSI0115i-paim_3	0	denovo
Skin_E	HPSI0115i-paim_3	0	denovo
Skin_F	HPSI0115i-paim_3	0	denovo
Skin_G	HPSI0115i-paim_3	0	denovo
Skin_H	HPSI0115i-paim_3	147.789878283152	denovo
Skin_I	HPSI0115i-paim_3	197.053171044202	denovo
UV_Skin_J	HPSI0115i-paim_3	0	denovo
Culture	HPSI0115i-payf_1	810.469767441861	denovo
Skin_B	HPSI0115i-payf_1	0	denovo
